Description,Quantity,Brand,Condition,Location,MTB / Road / Cyclocross
SPD Pedals single sided,2,Shamino,Used,Big Blue Box,Road
Pedal accessories,1,Speedplay,New,Big Blue Box,Road
Small pumps,3,,New,Big Blue Box,
Pumps,2,Blackburn,Used,Big Blue Box,Road
160mm Disc,1,,New,Big Blue Box,MTB
Lights,1,Hope,Used,Big Blue Box,MTB
Compact chain set with bearings,1,FSA,Used,Big Blue Box,Road
Chain Set,1,Shimano,Used,Big Blue Box,Road
Speedplay pedals,2,Speedplay,Used,Big Blue Box,Road
Skewers,,,Used,Big Blue Box,Road
Brake levers,2,,Used,Big Blue Box,Cyclocross
Quill stem,1,,Used,Big Blue Box,Road
27.2 seat post,2,,Used,Big Blue Box,Road
140mm Disc,1,,Used,Big Blue Box,
160mm Disc,1,,Used,Big Blue Box,
Hydraulic Lever & Caliper,1,,Used,Big Blue Box,MTB
Pair of Mechanical Disc Brakes [off Synapse],1,,Used,Big Blue Box,MTB / Road
Set of rear panniers,1,Blue,New,Brown Box,Road
Saddles,6,,Used,Brown Box,Road
Seat packs,2,Topeak,Used,Brown Box,MTB / Road
27.2 seat post,2,,Used,Brown Box,
30.6 seat post,1,,Used,Brown Box,
Cable locks & keys,2,,Used,Brown Box,
Red seat pack,1,,Used,Brown Box,
Vittoria 25mm Tyres,4,,New,DT Swiss Wheelbag,Road
Maxxis 23mm Tyres,2,,Used,DT Swiss Wheelbag,Road
Continental Tyre (off Focus),1,,Used,DT Swiss Wheelbag,Road
Vittoria Rubino 23mm Tyre,1,,Used,DT Swiss Wheelbag,Road
26 Tyre,2,,Used,Loose,MTB
Green Tyres,2,,Used,Loose,Cyclocross
23mm Lithion Tyre,1,,Used,Loose,Road
Cantilever Brakes,2,Shimano,New,Purple 1,Cyclocross
Front Ultegra Brakes,1,Shimano,New,Purple 1,Road
Rear Ultegra Brakes,1,Shimano,New,Purple 1,Road
Cantilever Triangle,1,Btwin,New,Purple 1,Cyclocross
Pair of leather toe-straps,1,,New,Purple 1,MTB
SPD Pedals,2,,Used,Purple 1,MTB / Road
Bottle cages,2,,Used,Purple 1,MTB /  Road
Front light,1,,Used,Purple 1,MTB / Road
Rear light,1,,Used,Purple 1,MTB /  Road
Grips,2,,Used,Purple 1,MTB
Fixed wheel sprockets,3,,Used,Purple 1,Road
Front left hand lever – 10 speed,1,,Used,Purple 1,Road
Handlebar levers,2,,Used,Purple 1,MTB
Velcro pump straps incl. Mountings,,,Used,Purple 1,
Cantilever Straddle Cables,5,,Used,Purple 1,Cyclocross
Velox Bar Tape Red,1,Velox,New,Purple 2,
Front brake cable kit,1,,New,Purple 2,
Gear cable kit,1,,New,Purple 2,
Inner brake cable,1,,New,Purple 2,MTB
Inner brake cable,1,,New,Purple 2,Road
Inner gear cable,2,Btwin,New,Purple 2,
Outer gear cable,1,Btwin,New,Purple 2,
Alloy cable ends,2,Btwin,New,Purple 2,
Derailleur cable ferrules,,,New,Purple 2,
Inline cable adjusters,2,,New,Purple 2,
Brake pads,4,,New,Purple 2,MTB
Avid BB5 brake pads,2,Avid BB5,New,Purple 2,MTB
<strike><bold style='color:red;'>Brake blocks,2</bold></strike>,Shimano,New,Purple 2,Road
Complete brake (blocks & cartridges),1,Shimano,New,Purple 2,Road
Bottom bracket cable holder,2,,New,Purple 2,Road
<strike><bold style='color:red;'>10-speed Jockey wheels,0</bold></strike>,,New,Purple 2,Road
SPD Cleats,3,Shimano,New,Purple 2,MTB / Road
Seat clamp,2,,New,Purple 2,Road
Rear hub bearings,4,Hope,New,Purple 2,Road
<strike><bold style='color:red;'>BB30 Bearings,2</bold></strike>,Enduro,New,Purple 2,Road
Rim tape,2,,New,Purple 2,Road
<strike><bold style='color:red;'>Headset bearings,1</bold></strike>,,New,Purple 2,Road
Headset bearings,2,Trek,New,Purple 2,Road
Hydraulic cable mounting,1,,New,Purple 2,
Black sticky pads,,,New,Purple 2,
Front brake bolt,1,,Used,Purple 2,
Stems,6,,Used,Purple 2,Road
10-speed chain,1,,New,Purple 3,Road
9-speed chain,1,,New,Purple 3,Road
9-speed cassette 12-23,1,,New,Purple 3,Road
Set of bar ends – screw on,1,,New,Purple 3,Road
Bar tape,3,,New,Purple 3,Road
10-speed cassette 12-23,1,,Used,Purple 3,Road
9-speed cassette 12-23,2,,Used,Purple 3,Road
11-speed cassette 11-32,1,Shamino,New,Purple 3,Road
Chain Ring 34,1,Shamino,New,Purple 3,Road
11-speed chain,1,Shamino,New,Purple 3,Road
Disk Brake Pads,1,Shamino,New,Purple 3,Road
